,title,summary,characters,pairings,fandoms,rating,size_tag,size,statuse,events,genres,warnings,link
0,"Пиши мне, хорошо?","Драко Малфой уезжает учиться в волшебную школу Шармбатон, но перед этим знакомится с Гарри Поттером в магазинчике «Мадам Малкин». Мальчики пожимают друг другу руки, и с этого момента начинается история их странной дружбы. Они пишут друг другу письма, делятся секретами и познают прелести первой влюбленности. Но жизнь – слишком сложная штука, и у неё определенно совсем другие планы на Драко и Гарри.","Драко Малфой, Рон Уизли, Гарри Поттер, Панси Паркинсон, Гермиона Грейнджер, Блейз Забини",Гарри Поттер/Драко Малфой,Гарри Поттер,NC-17,Макси,126,В процессе,"Детство героев, Распределение в другие факультеты","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic159183
1,"Невилл и все, все, все","Когда Невиллу дядя подарил жабу, началась цепь событий, встряхнувших  и изменивших магический мир.","Кащей Бессмертный, Беллатриса Лестрейндж, Драко Малфой, Невилл Лонгботтом, Гарри Поттер, Люциус Малфой, Родольфус Лестрейндж, Новый Женский Персонаж, Царевна-лягушка, Нарцисса Малфой, Августа Лонгботтом, Северус Снейп","Беллатриса Лестрейндж/Родольфус Лестрейндж, Люциус Малфой/Нарцисса Малфой","Гарри Поттер, Русские народные сказки",General,Макси,2164,В процессе,"Детство героев, Том Риддл - человек, Много оригинальных героев, Путешествие во времени, Экзотическое место действия, Адекватные Дурсли, Тайный план Дамблдора","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic100769
2,Укрощение строптивых (Хорошее дело браком не назовут-2),"Часть 2 ""Хорошее дело браком не назовут"". 
Так же как и там, каноном и не пахнет. Герои - такие, какими они были в первой части. Я предупредиль.
Брак состоялся, точнее, состоялись кольцевание и ритуал, но ведь это только начало. Как разворачиваются события и как складывается жизнь главных и не очень героев. Местами, я надеюсь, будет весело.","Беллатриса Лестрейндж, Рабастан Лестрейндж, Лорд Волдеморт (Том Риддл), Лили Эванс (Лили Поттер), Северус Снейп, Джеймс Поттер",Беллатриса Лестрейндж/Северус Снейп,Гарри Поттер,R,Миди,22,В процессе,"Аристократия, Первая война с Волдемортом","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic159169
3,Истина во сне,"«И часто ты бываешь в моих снах, Гарри? Я не касался твоего разума с той самой встречи в Отделе Тайн... но вот ты здесь... спасаешь меня от кошмаров».","Гарри Поттер, Лорд Волдеморт (Том Риддл)",Гарри Поттер/Лорд Волдеморт (Том Риддл),Гарри Поттер,NC-17,Макси,263,В процессе,Шестой курс,"Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic157201
4,Только ты,"Гермиона даже в самые тяжелые годы считала, что может контролировать свою, а иногда и не только свою жизнь. Вот только над своими снами она не властна. Гермиона полна решимости разобраться в том, что происходит. И какова в этом роль Северуса Снейпа.","Джинни Уизли, Рон Уизли, Гарри Поттер, Гермиона Грейнджер, Новый Женский Персонаж, Северус Снейп","Гермиона Грейнджер/Северус Снейп, Гермиона Грейнджер/Рон Уизли, Северус Снейп/Новый Женский Персонаж, Гарри Поттер/Джинни Уизли",Гарри Поттер,NC-17,Макси,536,В процессе,"ПостХогвартс, Жизнь среди маглов, Волдеморт побежден, Не в Хогвартсе","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic140892
5,Другие берега,"А, что если Гарри по-настоящему любил только Гермиону, прикрывая дружбой настоящие чувства и Грейнджер видела рядом с собой только Рона, пока тот находился в ее поле зрения. Уизли их оставит и мы посмотрим, как будут развиваться события... Кроме взаимных чувств ребятам еще предстоит открыть большую тайну, о которой далекие предки молчали много веков (два разных мира слились воедино).","Рон Уизли, Гарри Поттер, Изабелла Свон (Белла), Гермиона Грейнджер, Элис Каллен, Эдвард Каллен, Джейкоб Блэк, Сириус Блэк, Северус Снейп, Луна Лавгуд","Гарри Поттер/Гермиона Грейнджер, Изабелла Свон (Белла)/Эдвард Каллен","Гарри Поттер, Сумерки",PG-13,Макси,210,В процессе,,"Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic71494
6,Панси Паркинсон и ее волшебные твари,"Панси Паркинсон в поиске. А кто ищет, тот найдет.","Драко Малфой, Дадли Дурсль, Симус Финниган, Панси Паркинсон, Гарри Поттер, Гермиона Грейнджер","Панси Паркинсон/Симус Финниган, Гарри Поттер/Панси Паркинсон, Драко Малфой/Панси Паркинсон, Дадли Дурсль/Панси Паркинсон, Гермиона Грейнджер/Панси Паркинсон",Гарри Поттер,PG-13,Мини,10,Закончен,ПостХогвартс,"Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic159266
7,Последняя из Слизеринов. Книга IV,"Пятый курс остался за плечами, расставив некоторые вещи по своим местам. Венера продолжает медленно двигаться к своей цели, но знает ли она сама, какой должен быть результат? Что делать, если боль и страх стали вечными спутниками, а чужая кровь на руках уже становится привычной? Тёмный Лорд набирает силу, а новые союзы приносят свои плоды. Но кто сказал, что вкусив их, не отравишь сам себя?","Драко Малфой, Гарри Поттер, Новый Мужской Персонаж, Новый Женский Персонаж, Гермиона Грейнджер, Лорд Волдеморт (Том Риддл), Виктор Крам","Драко Малфой/Новый Женский Персонаж, Новый Женский Персонаж/Новый Мужской Персонаж, Гермиона Грейнджер/Виктор Крам",Гарри Поттер,NC-17,Макси,1033,В процессе,"Шестой курс, Вторая война с Волдемортом, Дамбигад, Темная сторона","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic150110
8,Большая Игра профессора Дамблдора. Продолжение,"Многие знают о существовании Большой Игры – теории о том, что большинство событий, происходивших с Гарри Поттером, являются частью тайного плана профессора Дамблдора. 

Половина из этих многих в свое время сильно расстраивалась, узнав, что анализ anna_y и cathereine (авторов БИ) заморожен. Среди них была я.

Больше 10 лет спустя после опубликования Анной и Екатериной трех частей БИ я закончила ее всю. И теперь готова делиться.","Северус Снейп, Гарри Поттер, Альбус Дамблдор",,Гарри Поттер,General,Макси,2240,В процессе,,"Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic140884
9,Беглец из прошлого,"Северус Снейп и Дилан Бэрк, волею судьбы попавший в тело Сириуса Блэка, пытаются выяснить, что произошло в 1981 году в Годриковой Лощине с Поттерами и Волдемортом, заодно планируя слегка навести порядок в магическом мире по своему усмотрению.","Северус Снейп, Гарри Поттер, Альбус Дамблдор, Новый Мужской Персонаж",Северус Снейп/Новый Мужской Персонаж,Гарри Поттер,R,Макси,227,В процессе,"Четвертый курс, Чужая душа в теле героя Поттерианы","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic157064
10,Игра теней,"Великий маг играет людьми ради Всеобщего Блага... Но из Тени смотрят на него иные глаза. 
Вбоквелл к фанфику ""Школьный демон"".
Вообще не ожидал, что ""Игра теней"" будет продолжена (вернее - обретет такой вот приквелл). Но что случилось - то случилось.","Гермиона Грейнджер, Гарри Поттер",Гарри Поттер/Гермиона Грейнджер,,R,Мини,23,Закончен,,"Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic54048
11,Тайны Тёмного Лорда,"Оборотная сторона луны - события саги о Гарри Поттере и не только глазами тёмной стороны. Становление Тёмного Лорда Волдеморта и Беллатрисы Лестрейндж как самых жестоких чёрных магов волшебной Британии в попытке понять, что сделало их такими. Как Том Реддл жил в приюте, учился в Хогвартсе и открыл Тайную комнату? Чем занимался после окончания школы? Что происходило во время двух волшебных войн по ...>>ту сторону баррикад? Какие отношения связывали двух главных злодеев, и при каких обстоятельствах у них родилась дочь Дельфини? Что произошло с ними после битвы за Хогвартс? Злодеяния и возмездие, любовь и спасительное самопожертвование тесно переплелись между собой. В ''Тайнах Тёмного Лорда'' также как и в произведениях Дж. Роулинг воплощена идея о силе любви и её победе над смертью, но доказывается она методом от противного. Произведение рассчитано как на фанатов, так и на читателей, незнакомых со Вселенной, поэтому используется значительное количество фрагментов из оригинала как в переработанном, так и в неизменном виде. Трагичная история, но финал окажется неожиданно счастливым.","Беллатриса Лестрейндж, Люциус Малфой, Гарри Поттер, Родольфус Лестрейндж, Лорд Волдеморт (Том Риддл), Альбус Дамблдор, Ремус Люпин, Сириус Блэк, Северус Снейп","Беллатриса Лестрейндж/Лорд Волдеморт (Том Риддл)/Родольфус Лестрейндж, Альбус Дамблдор/Гарри Поттер, Ремус Люпин/Северус Снейп/Сириус Блэк",Гарри Поттер,PG-13,Макси,339,В процессе,"Вторая война с Волдемортом, Первая война с Волдемортом, Темная сторона, Любовный треугольник, Смерть главных героев, Детство героев, Чистая романтика","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic157535
12,Как все было,"Планируется рассказ о жизни Снейпа. От дошкольного детства до 1982 года. Вопросы ""как он дошел до жизни такой"" и ""о чем умолчала Роулинг"". 
Интересно поразмышлять о том, что привлекало волшебников в Волдеморте. Что делали Пожиратели во время Первой волшебной войны. Мне не слишком нравится идея о том, что Волдеморт сразу же начинал мучить своих сторонников и издеваться над ними. Она периодиче...>>ски возникает в фанфиках. Кто бы к нему присоединился, если бы он делал так? Повсеместный мазохизм волшебников? Скорее всего, Волдеморт первого появления и второго не слишком походили друг на друга. 
Интересно было представить себе, что в это время происходило со Снейпом. 

Использовался текст канона книги ""Гарри Поттер и Дары смерти"", глава 33 ""История Принца"" и глава 28 ""Самое плохое воспоминание Снегга"" ""Гарри Поттер и Орден Феникса"", перевод РОСМЭН.","Эйлин Принц, Эйвери, Альбус Дамблдор, Ремус Люпин, Лили Эванс (Лили Поттер), Сириус Блэк, Мальсибер, Северус Снейп, Тобиас Снейп, Джеймс Поттер",,Гарри Поттер,PG-13,Макси,783,В процессе,"Детство героев, Времена Мародеров, Темная сторона, Первая война с Волдемортом","Драма, Первый раз, Романтика","БДСМ, ООС",fanfics.me/fic144053
